index,group,original_filename,new_path,description
39,02-editable-character-sheet,Screenshot 2026-07-08 at 9.39.31 AM.png,02-editable-character-sheet/28-add-weapon-melee-ranged-dropdown.png,Add weapon modal with melee/ranged dropdown.
40,02-editable-character-sheet,Screenshot 2026-07-08 at 9.39.34 AM.png,02-editable-character-sheet/29-add-weapon-simple-weapon-select-dropdown.png,Add weapon modal with simple weapon select dropdown open.
41,02-editable-character-sheet,Screenshot 2026-07-08 at 9.39.44 AM.png,02-editable-character-sheet/30-spells-page-overview.png,Spells page overview showing cantrips and first-level spell slots.
42,02-editable-character-sheet,Screenshot 2026-07-08 at 9.39.50 AM.png,02-editable-character-sheet/31-edit-spell-attack-and-dc-modal.png,Spell attack and spell DC edit modal.
43,02-editable-character-sheet,Screenshot 2026-07-08 at 9.39.56 AM.png,02-editable-character-sheet/32-edit-spellcasting-ability-and-progression-modal.png,Spellcasting edit modal showing ability and progression controls.
44,02-editable-character-sheet,Screenshot 2026-07-08 at 9.40.04 AM.png,02-editable-character-sheet/33-edit-spellcasting-ability-dropdown-open.png,Spellcasting edit modal with ability dropdown open.
45,02-editable-character-sheet,Screenshot 2026-07-08 at 9.40.09 AM.png,02-editable-character-sheet/34-edit-caster-progression-dropdown-open.png,Spellcasting edit modal with caster progression dropdown open.
46,02-editable-character-sheet,Screenshot 2026-07-08 at 9.40.30 AM.png,02-editable-character-sheet/35-character-details-features-top-section.png,"Character details page top section with class, race, background, and features."
47,02-editable-character-sheet,Screenshot 2026-07-08 at 9.40.36 AM.png,02-editable-character-sheet/36-character-details-equipment-personality-section.png,Character details page middle section with equipment and personality trait panels.
48,02-editable-character-sheet,Screenshot 2026-07-08 at 9.40.41 AM.png,02-editable-character-sheet/37-main-menu-character-actions.png,Main menu opened with character actions including level up and import/export options.
49,02-editable-character-sheet,Screenshot 2026-07-08 at 9.40.56 AM.png,02-editable-character-sheet/38-settings-page-layout-toggles-modal.png,Settings/page layout modal with visible page toggles and reorder buttons.
50,02-editable-character-sheet,Screenshot 2026-07-08 at 9.40.59 AM.png,02-editable-character-sheet/39-settings-restore-character-modal.png,Settings/restore character modal showing page toggles and restore options.
51,03-level-up-flow,Screenshot 2026-07-08 at 10.42.28 AM.png,03-level-up-flow/01-level-up-choose-class-or-multiclass.png,Level up dialog asking whether to level current class or multiclass.
52,03-level-up-flow,Screenshot 2026-07-08 at 10.42.34 AM.png,03-level-up-flow/02-level-up-class-dropdown-open.png,Level up dialog with class dropdown open.
53,03-level-up-flow,Screenshot 2026-07-08 at 10.42.48 AM.png,03-level-up-flow/03-level-up-wizard-archetype-selection.png,Wizard archetype/subclass selection modal.
54,03-level-up-flow,Screenshot 2026-07-08 at 10.42.55 AM.png,03-level-up-flow/04-level-up-wizard-hit-point-increase.png,Wizard level-up hit point increase modal.
55,03-level-up-flow,Screenshot 2026-07-08 at 10.43.08 AM.png,03-level-up-flow/05-level-up-next-class-or-multiclass-choice.png,"Next level-up dialog after wizard level, showing class or multiclass choice."
56,03-level-up-flow,Screenshot 2026-07-08 at 10.43.15 AM.png,03-level-up-flow/06-level-up-fighter-fighting-style-empty.png,Fighter fighting style selection modal before selection.
57,03-level-up-flow,Screenshot 2026-07-08 at 10.43.17 AM.png,03-level-up-flow/07-level-up-fighter-fighting-style-list.png,Fighter fighting style selection modal showing list of style options.
58,03-level-up-flow,Screenshot 2026-07-08 at 10.43.23 AM.png,03-level-up-flow/08-level-up-fighter-archery-style-selected.png,Fighter fighting style selection modal with Archery selected and description visible.
59,03-level-up-flow,Screenshot 2026-07-08 at 10.43.26 AM.png,03-level-up-flow/09-level-up-fighter-hit-point-increase.png,Fighter level-up hit point increase modal.
60,03-level-up-flow,Screenshot 2026-07-08 at 10.43.30 AM.png,03-level-up-flow/10-level-up-complete-wizard-2-fighter-1-overview.png,"Main sheet after multiclass/level-up completion showing Wizard 2, Fighter 1."
61,03-level-up-flow,Screenshot 2026-07-08 at 10.43.39 AM.png,03-level-up-flow/11-level-up-character-details-multiclass-top-section.png,Character details top section after leveling/multiclassing.
62,03-level-up-flow,Screenshot 2026-07-08 at 10.43.46 AM.png,03-level-up-flow/12-level-up-character-details-multiclass-equipment-section.png,Character details middle section after leveling/multiclassing.
